[0.000000] (-) TimerEvent: {}
[0.000320] (-) JobUnselected: {'identifier': 'ackermann_steering_controller'}
[0.000349] (-) JobUnselected: {'identifier': 'admittance_controller'}
[0.000366] (-) JobUnselected: {'identifier': 'bicycle_steering_controller'}
[0.000380] (-) JobUnselected: {'identifier': 'control_msgs'}
[0.000394] (-) JobUnselected: {'identifier': 'controller_interface'}
[0.000408] (-) JobUnselected: {'identifier': 'controller_manager'}
[0.000421] (-) JobUnselected: {'identifier': 'controller_manager_msgs'}
[0.000434] (-) JobUnselected: {'identifier': 'diff_drive_controller'}
[0.000447] (-) JobUnselected: {'identifier': 'effort_controllers'}
[0.000461] (-) JobUnselected: {'identifier': 'force_torque_sensor_broadcaster'}
[0.000474] (-) JobUnselected: {'identifier': 'forward_command_controller'}
[0.000488] (-) JobUnselected: {'identifier': 'gazebo_ros2_control'}
[0.000500] (-) JobUnselected: {'identifier': 'gazebo_ros2_control_demos'}
[0.000514] (-) JobUnselected: {'identifier': 'gpio_controllers'}
[0.000526] (-) JobUnselected: {'identifier': 'gripper_controllers'}
[0.000540] (-) JobUnselected: {'identifier': 'gz_ros2_control_tests'}
[0.000552] (-) JobUnselected: {'identifier': 'hardware_interface'}
[0.000565] (-) JobUnselected: {'identifier': 'hardware_interface_testing'}
[0.000578] (-) JobUnselected: {'identifier': 'ign_ros2_control'}
[0.000594] (-) JobUnselected: {'identifier': 'ign_ros2_control_demos'}
[0.000607] (-) JobUnselected: {'identifier': 'imu_sensor_broadcaster'}
[0.000620] (-) JobUnselected: {'identifier': 'joint_limits'}
[0.000633] (-) JobUnselected: {'identifier': 'joint_state_broadcaster'}
[0.000646] (-) JobUnselected: {'identifier': 'joint_trajectory_controller'}
[0.000659] (-) JobUnselected: {'identifier': 'kinova_gen3_6dof_robotiq_2f_85_moveit_config'}
[0.000672] (-) JobUnselected: {'identifier': 'kinova_gen3_7dof_robotiq_2f_85_moveit_config'}
[0.000685] (-) JobUnselected: {'identifier': 'kinova_gen3_lite_moveit_config'}
[0.000698] (-) JobUnselected: {'identifier': 'kortex_api'}
[0.000711] (-) JobUnselected: {'identifier': 'kortex_bringup'}
[0.000724] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.000737] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.000749] (-) JobUnselected: {'identifier': 'mecanum_drive_controller'}
[0.000762] (-) JobUnselected: {'identifier': 'picknik_reset_fault_controller'}
[0.000776] (-) JobUnselected: {'identifier': 'picknik_twist_controller'}
[0.000789] (-) JobUnselected: {'identifier': 'pid_controller'}
[0.000802] (-) JobUnselected: {'identifier': 'pose_broadcaster'}
[0.000815] (-) JobUnselected: {'identifier': 'position_controllers'}
[0.000827] (-) JobUnselected: {'identifier': 'range_sensor_broadcaster'}
[0.000840] (-) JobUnselected: {'identifier': 'realtime_tools'}
[0.000853] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.000866] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.000879] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.000891] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.000904] (-) JobUnselected: {'identifier': 'ros2_control'}
[0.000917] (-) JobUnselected: {'identifier': 'ros2_control_test_assets'}
[0.000930] (-) JobUnselected: {'identifier': 'ros2_controllers'}
[0.000943] (-) JobUnselected: {'identifier': 'ros2_controllers_test_nodes'}
[0.000956] (-) JobUnselected: {'identifier': 'ros2controlcli'}
[0.000969] (-) JobUnselected: {'identifier': 'ros_gz'}
[0.000982] (-) JobUnselected: {'identifier': 'ros_gz_bridge'}
[0.000995] (-) JobUnselected: {'identifier': 'ros_gz_image'}
[0.001007] (-) JobUnselected: {'identifier': 'ros_gz_interfaces'}
[0.001020] (-) JobUnselected: {'identifier': 'ros_gz_sim'}
[0.001033] (-) JobUnselected: {'identifier': 'ros_gz_sim_demos'}
[0.001046] (-) JobUnselected: {'identifier': 'ros_ign'}
[0.001059] (-) JobUnselected: {'identifier': 'ros_ign_bridge'}
[0.001072] (-) JobUnselected: {'identifier': 'ros_ign_gazebo'}
[0.001085] (-) JobUnselected: {'identifier': 'ros_ign_gazebo_demos'}
[0.001098] (-) JobUnselected: {'identifier': 'ros_ign_image'}
[0.001111] (-) JobUnselected: {'identifier': 'ros_ign_interfaces'}
[0.001130] (-) JobUnselected: {'identifier': 'rqt_controller_manager'}
[0.001143] (-) JobUnselected: {'identifier': 'rqt_joint_trajectory_controller'}
[0.001156] (-) JobUnselected: {'identifier': 'serial'}
[0.001169] (-) JobUnselected: {'identifier': 'steering_controllers_library'}
[0.001182] (-) JobUnselected: {'identifier': 'test_ros_gz_bridge'}
[0.001200] (-) JobUnselected: {'identifier': 'transmission_interface'}
[0.001215] (-) JobUnselected: {'identifier': 'tricycle_controller'}
[0.001228] (-) JobUnselected: {'identifier': 'tricycle_steering_controller'}
[0.001241] (-) JobUnselected: {'identifier': 'velocity_controllers'}
[0.001258] (-) EventReactorShutdown: {}
