[0.000000] (-) TimerEvent: {}
[0.000191] (-) JobUnselected: {'identifier': 'ackermann_steering_controller'}
[0.000296] (-) JobUnselected: {'identifier': 'admittance_controller'}
[0.000317] (-) JobUnselected: {'identifier': 'bicycle_steering_controller'}
[0.000332] (-) JobUnselected: {'identifier': 'control_msgs'}
[0.000348] (-) JobUnselected: {'identifier': 'controller_interface'}
[0.000363] (-) JobUnselected: {'identifier': 'controller_manager'}
[0.000378] (-) JobUnselected: {'identifier': 'controller_manager_msgs'}
[0.000393] (-) JobUnselected: {'identifier': 'diff_drive_controller'}
[0.000407] (-) JobUnselected: {'identifier': 'effort_controllers'}
[0.000421] (-) JobUnselected: {'identifier': 'force_torque_sensor_broadcaster'}
[0.000436] (-) JobUnselected: {'identifier': 'forward_command_controller'}
[0.000450] (-) JobUnselected: {'identifier': 'gazebo_ros2_control'}
[0.000464] (-) JobUnselected: {'identifier': 'gazebo_ros2_control_demos'}
[0.000477] (-) JobUnselected: {'identifier': 'gpio_controllers'}
[0.000491] (-) JobUnselected: {'identifier': 'gripper_controllers'}
[0.000504] (-) JobUnselected: {'identifier': 'gz_ros2_control_tests'}
[0.000518] (-) JobUnselected: {'identifier': 'hardware_interface'}
[0.000532] (-) JobUnselected: {'identifier': 'hardware_interface_testing'}
[0.000546] (-) JobUnselected: {'identifier': 'ign_ros2_control'}
[0.000561] (-) JobUnselected: {'identifier': 'ign_ros2_control_demos'}
[0.000574] (-) JobUnselected: {'identifier': 'imu_sensor_broadcaster'}
[0.000588] (-) JobUnselected: {'identifier': 'joint_limits'}
[0.000602] (-) JobUnselected: {'identifier': 'joint_state_broadcaster'}
[0.000616] (-) JobUnselected: {'identifier': 'joint_trajectory_controller'}
[0.000629] (-) JobUnselected: {'identifier': 'kinova_gen3_6dof_robotiq_2f_85_moveit_config'}
[0.000643] (-) JobUnselected: {'identifier': 'kinova_gen3_7dof_robotiq_2f_85_moveit_config'}
[0.000657] (-) JobUnselected: {'identifier': 'kinova_gen3_lite_moveit_config'}
[0.000670] (-) JobUnselected: {'identifier': 'kortex_api'}
[0.000684] (-) JobUnselected: {'identifier': 'kortex_bringup'}
[0.000698] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.000711] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.000725] (-) JobUnselected: {'identifier': 'mecanum_drive_controller'}
[0.000738] (-) JobUnselected: {'identifier': 'picknik_reset_fault_controller'}
[0.000752] (-) JobUnselected: {'identifier': 'picknik_twist_controller'}
[0.000766] (-) JobUnselected: {'identifier': 'pid_controller'}
[0.000780] (-) JobUnselected: {'identifier': 'pose_broadcaster'}
[0.000793] (-) JobUnselected: {'identifier': 'position_controllers'}
[0.000807] (-) JobUnselected: {'identifier': 'range_sensor_broadcaster'}
[0.000821] (-) JobUnselected: {'identifier': 'realtime_tools'}
[0.000835] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.000848] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.000862] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.000876] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.000890] (-) JobUnselected: {'identifier': 'ros2_control'}
[0.000904] (-) JobUnselected: {'identifier': 'ros2_control_test_assets'}
[0.000917] (-) JobUnselected: {'identifier': 'ros2_controllers'}
[0.000931] (-) JobUnselected: {'identifier': 'ros2_controllers_test_nodes'}
[0.000945] (-) JobUnselected: {'identifier': 'ros2controlcli'}
[0.000959] (-) JobUnselected: {'identifier': 'ros_gz'}
[0.000973] (-) JobUnselected: {'identifier': 'ros_gz_bridge'}
[0.000986] (-) JobUnselected: {'identifier': 'ros_gz_image'}
[0.001000] (-) JobUnselected: {'identifier': 'ros_gz_interfaces'}
[0.001014] (-) JobUnselected: {'identifier': 'ros_gz_sim'}
[0.001028] (-) JobUnselected: {'identifier': 'ros_gz_sim_demos'}
[0.001042] (-) JobUnselected: {'identifier': 'ros_ign'}
[0.001055] (-) JobUnselected: {'identifier': 'ros_ign_bridge'}
[0.001069] (-) JobUnselected: {'identifier': 'ros_ign_gazebo'}
[0.001083] (-) JobUnselected: {'identifier': 'ros_ign_gazebo_demos'}
[0.001097] (-) JobUnselected: {'identifier': 'ros_ign_image'}
[0.001110] (-) JobUnselected: {'identifier': 'ros_ign_interfaces'}
[0.001130] (-) JobUnselected: {'identifier': 'rqt_controller_manager'}
[0.001144] (-) JobUnselected: {'identifier': 'rqt_joint_trajectory_controller'}
[0.001158] (-) JobUnselected: {'identifier': 'serial'}
[0.001172] (-) JobUnselected: {'identifier': 'steering_controllers_library'}
[0.001186] (-) JobUnselected: {'identifier': 'test_ros_gz_bridge'}
[0.001200] (-) JobUnselected: {'identifier': 'transmission_interface'}
[0.001213] (-) JobUnselected: {'identifier': 'tricycle_controller'}
[0.001227] (-) JobUnselected: {'identifier': 'tricycle_steering_controller'}
[0.001241] (-) JobUnselected: {'identifier': 'velocity_controllers'}
[0.001328] (-) EventReactorShutdown: {}
