[0.000000] (-) TimerEvent: {}
[0.000118] (-) JobUnselected: {'identifier': 'ackermann_steering_controller'}
[0.000142] (-) JobUnselected: {'identifier': 'admittance_controller'}
[0.000166] (-) JobUnselected: {'identifier': 'bicycle_steering_controller'}
[0.000185] (-) JobUnselected: {'identifier': 'control_msgs'}
[0.000200] (-) JobUnselected: {'identifier': 'controller_interface'}
[0.000216] (-) JobUnselected: {'identifier': 'controller_manager'}
[0.000230] (-) JobUnselected: {'identifier': 'controller_manager_msgs'}
[0.000245] (-) JobUnselected: {'identifier': 'diff_drive_controller'}
[0.000259] (-) JobUnselected: {'identifier': 'effort_controllers'}
[0.000273] (-) JobUnselected: {'identifier': 'force_torque_sensor_broadcaster'}
[0.000287] (-) JobUnselected: {'identifier': 'forward_command_controller'}
[0.000301] (-) JobUnselected: {'identifier': 'gazebo_ros2_control'}
[0.000315] (-) JobUnselected: {'identifier': 'gazebo_ros2_control_demos'}
[0.000329] (-) JobUnselected: {'identifier': 'gpio_controllers'}
[0.000343] (-) JobUnselected: {'identifier': 'gripper_controllers'}
[0.000357] (-) JobUnselected: {'identifier': 'gz_ros2_control_tests'}
[0.000371] (-) JobUnselected: {'identifier': 'hardware_interface'}
[0.000385] (-) JobUnselected: {'identifier': 'hardware_interface_testing'}
[0.000399] (-) JobUnselected: {'identifier': 'ign_ros2_control'}
[0.000414] (-) JobUnselected: {'identifier': 'ign_ros2_control_demos'}
[0.000428] (-) JobUnselected: {'identifier': 'imu_sensor_broadcaster'}
[0.000441] (-) JobUnselected: {'identifier': 'joint_limits'}
[0.000455] (-) JobUnselected: {'identifier': 'joint_state_broadcaster'}
[0.000470] (-) JobUnselected: {'identifier': 'joint_trajectory_controller'}
[0.000484] (-) JobUnselected: {'identifier': 'kinova_gen3_6dof_robotiq_2f_85_moveit_config'}
[0.000498] (-) JobUnselected: {'identifier': 'kinova_gen3_7dof_robotiq_2f_85_moveit_config'}
[0.000512] (-) JobUnselected: {'identifier': 'kinova_gen3_lite_moveit_config'}
[0.000526] (-) JobUnselected: {'identifier': 'kortex_api'}
[0.000540] (-) JobUnselected: {'identifier': 'kortex_bringup'}
[0.000554] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.000568] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.000582] (-) JobUnselected: {'identifier': 'mecanum_drive_controller'}
[0.000596] (-) JobUnselected: {'identifier': 'picknik_reset_fault_controller'}
[0.000609] (-) JobUnselected: {'identifier': 'picknik_twist_controller'}
[0.000623] (-) JobUnselected: {'identifier': 'pid_controller'}
[0.000637] (-) JobUnselected: {'identifier': 'pose_broadcaster'}
[0.000651] (-) JobUnselected: {'identifier': 'position_controllers'}
[0.000664] (-) JobUnselected: {'identifier': 'range_sensor_broadcaster'}
[0.000678] (-) JobUnselected: {'identifier': 'realtime_tools'}
[0.000692] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.000706] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.000720] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.000733] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.000747] (-) JobUnselected: {'identifier': 'ros2_control'}
[0.000761] (-) JobUnselected: {'identifier': 'ros2_control_test_assets'}
[0.000775] (-) JobUnselected: {'identifier': 'ros2_controllers'}
[0.000789] (-) JobUnselected: {'identifier': 'ros2_controllers_test_nodes'}
[0.000803] (-) JobUnselected: {'identifier': 'ros2controlcli'}
[0.000817] (-) JobUnselected: {'identifier': 'ros_gz'}
[0.000831] (-) JobUnselected: {'identifier': 'ros_gz_bridge'}
[0.000845] (-) JobUnselected: {'identifier': 'ros_gz_image'}
[0.000859] (-) JobUnselected: {'identifier': 'ros_gz_interfaces'}
[0.000873] (-) JobUnselected: {'identifier': 'ros_gz_sim'}
[0.000886] (-) JobUnselected: {'identifier': 'ros_gz_sim_demos'}
[0.000900] (-) JobUnselected: {'identifier': 'ros_ign'}
[0.000914] (-) JobUnselected: {'identifier': 'ros_ign_bridge'}
[0.000928] (-) JobUnselected: {'identifier': 'ros_ign_gazebo'}
[0.000942] (-) JobUnselected: {'identifier': 'ros_ign_gazebo_demos'}
[0.000956] (-) JobUnselected: {'identifier': 'ros_ign_image'}
[0.000969] (-) JobUnselected: {'identifier': 'ros_ign_interfaces'}
[0.000989] (-) JobUnselected: {'identifier': 'rqt_controller_manager'}
[0.001003] (-) JobUnselected: {'identifier': 'rqt_joint_trajectory_controller'}
[0.001017] (-) JobUnselected: {'identifier': 'serial'}
[0.001031] (-) JobUnselected: {'identifier': 'steering_controllers_library'}
[0.001045] (-) JobUnselected: {'identifier': 'test_ros_gz_bridge'}
[0.001059] (-) JobUnselected: {'identifier': 'transmission_interface'}
[0.001072] (-) JobUnselected: {'identifier': 'tricycle_controller'}
[0.001086] (-) JobUnselected: {'identifier': 'tricycle_steering_controller'}
[0.001100] (-) JobUnselected: {'identifier': 'velocity_controllers'}
[0.001114] (-) EventReactorShutdown: {}
